"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7481","Login and validate book details","","Mon Feb 24 15:21:02 CET 2025","passed","Mon Feb 24 15:21:09 CET 2025","Library Book Validation","library.spec.ts","",""
"","3423","Registration with WebSocket","","Mon Feb 24 15:21:02 CET 2025","passed","Mon Feb 24 15:21:05 CET 2025","","register.spec.ts","",""
